cris_id,title,publication_type,doi,doi_link,resolved_doi_link
21232945,Quality standards for passenger trains: Political majorities and environmental costs,Forschungsartikel (Zeitschrift),10.1016/j.trd.2010.08.007,https://doi.org/10.1016/j.trd.2010.08.007,https://linkinghub.elsevier.com/retrieve/pii/S1361920910001276
21232856,"Stability, chaos and multiple attractors: A single agent makes a difference",Forschungsartikel (Zeitschrift),10.1016/S0165-1889(02)00090-8,https://doi.org/10.1016/S0165-1889(02)00090-8,https://linkinghub.elsevier.com/retrieve/pii/S0165188902000908
21232767,Theory of protectionism fluctuations caused by a support-maximizing government,Forschungsartikel (Zeitschrift),10.1007/BF02298766,https://doi.org/10.1007/BF02298766,https://link.springer.com/article/10.1007/BF02298766
21214772,Getting beer during commercials: Adverse effects of ad-avoidance,Forschungsartikel (Zeitschrift),10.1016/j.infoecopol.2010.09.002,https://doi.org/10.1016/j.infoecopol.2010.09.002,https://linkinghub.elsevier.com/retrieve/pii/S016762451000048X
21214686,Regulating advertising in the presence of public service broadcasting,Forschungsartikel (Zeitschrift),10.1515/1446-9022.1251,https://doi.org/10.1515/1446-9022.1251,https://www.degruyter.com/document/doi/10.1515/1446-9022.1251/html
21214597,Roaming and investments in the mobile Internet market,Forschungsartikel (Zeitschrift),10.1016/j.telpol.2012.03.006,https://doi.org/10.1016/j.telpol.2012.03.006,https://linkinghub.elsevier.com/retrieve/pii/S0308596112000481
21193715,Cross-platform Development of Business Apps with MD²,Forschungsartikel in Sammelband (Konferenz),10.1007/978-3-642-38827-9_29,https://doi.org/10.1007/978-3-642-38827-9_29,https://link.springer.com/chapter/10.1007/978-3-642-38827-9_29
21168915,Robust Load Delegation in Service Grid Environments,Forschungsartikel (Zeitschrift),10.1109/TPDS.2010.16,https://doi.org/10.1109/TPDS.2010.16,https://ieeexplore.ieee.org/document/5401153/
21168751,Competitive Co-evolutionary Learning of Fuzzy Systems for Job Exchange in Computational Grids,Forschungsartikel (Zeitschrift),10.1162/evco.2009.17.4.17406,https://doi.org/10.1162/evco.2009.17.4.17406,https://direct.mit.edu/evco/article/17/4/545-560/1327
21168430,On the Integration of Theoretical Single-Objective Scheduling Results for Multi-objective Problems,Forschungsartikel (Buchbeitrag),10.1007/978-3-642-32726-1_10,https://doi.org/10.1007/978-3-642-32726-1_10,https://link.springer.com/chapter/10.1007/978-3-642-32726-1_10
21168193,An Approach to Instantly Use Single-Objective Results for Multi-objective Evolutionary Combinatorial Optimization,Forschungsartikel (Buchbeitrag),10.1007/978-3-642-34413-8_34,https://doi.org/10.1007/978-3-642-34413-8_34,https://link.springer.com/chapter/10.1007/978-3-642-34413-8_34
21167328,Parallel Predator-Prey Interaction for Evolutionary Multi-Objective Optimization,Forschungsartikel (Zeitschrift),10.1007/s11047-011-9266-9,https://doi.org/10.1007/s11047-011-9266-9,https://link.springer.com/article/10.1007/s11047-011-9266-9
21167088,Multi-criteria scheduling: an agent-based approach for expert knowledge integration,Forschungsartikel (Zeitschrift),10.1007/s10951-011-0256-7,https://doi.org/10.1007/s10951-011-0256-7,https://link.springer.com/article/10.1007/s10951-011-0256-7
21167010,Cooperative Negotiation and Scheduling of Scientific Workflows in the Collaborative Climate Community Data and Processing Grid,Forschungsartikel (Zeitschrift),10.1016/j.future.2008.05.002,https://doi.org/10.1016/j.future.2008.05.002,https://linkinghub.elsevier.com/retrieve/pii/S0167739X08000587
21166845,Generalizing the Data Management of Three Community Grids,Forschungsartikel (Zeitschrift),10.1016/j.future.2008.05.001,https://doi.org/10.1016/j.future.2008.05.001,https://linkinghub.elsevier.com/retrieve/pii/S0167739X08000563
4487629,A Framework for Fast Graph-based Pattern Matching in Conceptual Models,Forschungsartikel in Sammelband (Konferenz),10.1109/CBI.2013.42,https://doi.org/10.1109/CBI.2013.42,https://ieeexplore.ieee.org/document/6642884/
21153243,Economic optimization of non-sharp separation sequences by means of evolutionary algorithms,Forschungsartikel (Zeitschrift),10.1016/j.compchemeng.2007.06.009,https://doi.org/10.1016/j.compchemeng.2007.06.009,https://linkinghub.elsevier.com/retrieve/pii/S009813540700169X
21153152,Multi-objective evolutionary feature selection for instrument recognition in polyphonic audio mixtures,Forschungsartikel (Zeitschrift),10.1007/s00500-012-0874-9,https://doi.org/10.1007/s00500-012-0874-9,https://link.springer.com/article/10.1007/s00500-012-0874-9
21152882,Aiming for a theoretically tractable CSA variant by means of empirical investigations,Forschungsartikel in Sammelband (Konferenz),10.1145/1389095.1389191,https://doi.org/10.1145/1389095.1389191,http://portal.acm.org/citation.cfm?doid=1389095.1389191
21152794,A multiobjective approach for finding equivalent inverse images of pareto-optimal objective vectors,Forschungsartikel in Sammelband (Konferenz),10.1109/MCDM.2009.4938831,https://doi.org/10.1109/MCDM.2009.4938831,https://ieeexplore.ieee.org/document/4938831
21152702,An evolutionary approximation for the coefficients of decision functions within a support vector machine learning strategy,Forschungsartikel (Buchbeitrag),10.1007/978-3-642-01082-8_4,https://doi.org/10.1007/978-3-642-01082-8_4,https://link.springer.com/chapter/10.1007/978-3-642-01082-8_4
21152614,Automatic adaptation to generated content via car setup optimization in TORCS,Forschungsartikel in Sammelband (Konferenz),10.1109/ITW.2010.5593361,https://doi.org/10.1109/ITW.2010.5593361,https://ieeexplore.ieee.org/document/5593361/
21152524,Automatic and interactive tuning of algorithms,Forschungsartikel in Sammelband (Konferenz),10.1145/2001858.2002141,https://doi.org/10.1145/2001858.2002141,http://portal.acm.org/citation.cfm?doid=2001858.2002141
21152436,BeatTheBeat music-based procedural content generation in a mobile game,Forschungsartikel in Sammelband (Konferenz),10.1109/CIG.2012.6374172,https://doi.org/10.1109/CIG.2012.6374172,https://ieeexplore.ieee.org/document/6374172/
21152162,Concerning the potential of evolutionary support vector machines,Forschungsartikel in Sammelband (Konferenz),10.1109/CEC.2007.4424640,https://doi.org/10.1109/CEC.2007.4424640,https://ieeexplore.ieee.org/document/4424640/
21151811,"Counteracting genetic drift and disruptive recombination in (μ, +λ)-EA on multimodal fitness landscapes",Forschungsartikel in Sammelband (Konferenz),10.1145/1068009.1068155,https://doi.org/10.1145/1068009.1068155,http://portal.acm.org/citation.cfm?doid=1068009.1068155
21151717,Decision space diversity can be essential for solving multiobjective real-world problems,Forschungsartikel in Sammelband (Konferenz),10.1007/978-3-642-04045-0_31,https://doi.org/10.1007/978-3-642-04045-0_31,https://link.springer.com/chapter/10.1007/978-3-642-04045-0_31
21151447,Editorial for the special issue on automated design and assessment of heuristic search methods,Forschungsartikel (Zeitschrift),10.1162/EVCO_e_00071,https://doi.org/10.1162/EVCO_e_00071,https://direct.mit.edu/evco/article/20/2/161-163/918
21151172,Elitist generational genetic chromodynamics - A new radii-based evolutionary algorithm for multimodal optimization,Forschungsartikel in Sammelband (Konferenz),10.1109/CEC.2005.1554911,https://doi.org/10.1109/CEC.2005.1554911,https://ieeexplore.ieee.org/document/1554911/
21150633,Experimental research in evolutionary computation,Forschungsartikel in Sammelband (Konferenz),10.1145/1388969.1389066,https://doi.org/10.1145/1388969.1389066,http://portal.acm.org/citation.cfm?doid=1388969.1389066
21150544,Experimental research in evolutionary computation,Forschungsartikel in Sammelband (Konferenz),10.1145/1274000.1274102,https://doi.org/10.1145/1274000.1274102,http://portal.acm.org/citation.cfm?doid=1274000.1274102
21150456,Exploratory landscape analysis,Forschungsartikel in Sammelband (Konferenz),10.1145/2001576.2001690,https://doi.org/10.1145/2001576.2001690,http://portal.acm.org/citation.cfm?doid=2001576.2001690
21150277,Intelligent anti-grouping in real-time strategy games,Forschungsartikel in Sammelband (Konferenz),10.1109/CIG.2008.5035622,https://doi.org/10.1109/CIG.2008.5035622,https://ieeexplore.ieee.org/document/5035622/
21150189,Intelligent moving of groups in real-time strategy games,Forschungsartikel in Sammelband (Konferenz),10.1109/CIG.2008.5035623,https://doi.org/10.1109/CIG.2008.5035623,https://ieeexplore.ieee.org/document/5035623/
21150010,Is human-like and well playing contradictory for diplomacy hots?,Forschungsartikel in Sammelband (Konferenz),10.1109/CIG.2009.5286472,https://doi.org/10.1109/CIG.2009.5286472,https://ieeexplore.ieee.org/document/5286472/
21149922,Learning the track and planning ahead in a car racing controller,Forschungsartikel in Sammelband (Konferenz),10.1109/ITW.2010.5593327,https://doi.org/10.1109/ITW.2010.5593327,https://ieeexplore.ieee.org/document/5593327/
21149566,Multimodal optimization by means of a topological species conservation algorithm,Forschungsartikel (Zeitschrift),10.1109/TEVC.2010.2041668,https://doi.org/10.1109/TEVC.2010.2041668,https://ieeexplore.ieee.org/document/5491155/
21149478,Multiobjective exploration of the StarCraft map space,Forschungsartikel in Sammelband (Konferenz),10.1109/ITW.2010.5593346,https://doi.org/10.1109/ITW.2010.5593346,https://ieeexplore.ieee.org/document/5593346/
21149209,Niching the CMA-ES via nearest-better clustering,Forschungsartikel in Sammelband (Konferenz),10.1145/1830761.1830793,https://doi.org/10.1145/1830761.1830793,http://portal.acm.org/citation.cfm?doid=1830761.1830793
21148589,Sequential parameter optimization,Forschungsartikel in Sammelband (Konferenz),10.1109/CEC.2005.1554761,https://doi.org/10.1109/CEC.2005.1554761,https://ieeexplore.ieee.org/document/1554761/
21148497,Sequential parameter optimization applied to self-adaptation for binary-coded evolutionary algorithms,Forschungsartikel (Buchbeitrag),10.1007/978-3-540-69432-8_5,https://doi.org/10.1007/978-3-540-69432-8_5,https://link.springer.com/chapter/10.1007/978-3-540-69432-8_5
21148409,Solving multimodal problems via multiobjective techniques with application to phase equilibrium detection,Forschungsartikel in Sammelband (Konferenz),10.1109/CEC.2007.4424812,https://doi.org/10.1109/CEC.2007.4424812,https://ieeexplore.ieee.org/document/4424812/
21148319,Statistical analysis of optimization algorithms with R,Forschungsartikel in Sammelband (Konferenz),10.1145/2330784.2330940,https://doi.org/10.1145/2330784.2330940,https://dl.acm.org/doi/10.1145/2330784.2330940
21148230,Support vector machine learning with an evolutionary engine,Forschungsartikel (Zeitschrift),10.1057/jors.2008.124,https://doi.org/10.1057/jors.2008.124,https://www.tandfonline.com/doi/full/10.1057/jors.2008.124
21148141,The 2009 simulated car racing championship,Forschungsartikel (Zeitschrift),10.1109/TCIAIG.2010.2050590,https://doi.org/10.1109/TCIAIG.2010.2050590,https://ieeexplore.ieee.org/document/5466096/
21147966,Towards multiobjective procedural map generation,Forschungsartikel in Sammelband (Konferenz),10.1145/1814256.1814259,https://doi.org/10.1145/1814256.1814259,http://portal.acm.org/citation.cfm?doid=1814256.1814259
21147875,Tuning and experimental analysis in EC: What we still have wrong,Forschungsartikel in Sammelband (Konferenz),10.1145/1830761.1830911,https://doi.org/10.1145/1830761.1830911,http://portal.acm.org/citation.cfm?doid=1830761.1830911
21147786,Tuning optimization algorithms for real-world problems by means of surrogate modeling,Forschungsartikel in Sammelband (Konferenz),10.1145/1830483.1830558,https://doi.org/10.1145/1830483.1830558,http://portal.acm.org/citation.cfm?doid=1830483.1830558
21137159,preCEP: Facilitating Predictive Event-Driven Process Analytics,Forschungsartikel in Sammelband (Konferenz),10.1007/978-3-642-38827-9_36,https://doi.org/10.1007/978-3-642-38827-9_36,https://link.springer.com/chapter/10.1007/978-3-642-38827-9_36
21131183,Elasticity in Cloud Databases and Their Query Processing,Forschungsartikel (Zeitschrift),10.4018/jdwm.2013040101,https://doi.org/10.4018/jdwm.2013040101,https://www.igi-global.com/gateway/article/78284
21130627,Do Commodity Index Traders Destabilize Agricultural Futures Prices?,Forschungsartikel (Zeitschrift),10.3790/aeq.59.2.125,https://doi.org/10.3790/aeq.59.2.125,https://elibrary.duncker-humblot.com/article/5748/do-commodity-index-traders-destabilize-agricultural-futures-prices
21125401,When Do Jumps Matter for Portfolio Optimization?,Forschungsartikel (Zeitschrift),10.1080/14697688.2015.1131844,https://doi.org/10.1080/14697688.2015.1131844,https://www.tandfonline.com/doi/full/10.1080/14697688.2015.1131844
21125323,Optimal Portfolios When Variances and Covariances can Jump,Forschungsartikel (Zeitschrift),10.1016/j.jedc.2017.09.008,https://doi.org/10.1016/j.jedc.2017.09.008,https://linkinghub.elsevier.com/retrieve/pii/S0165188917302038
4529108,Softwaregestützte Konstruktion von Produktivitätsmodellen im Facility Management,Forschungsartikel (Buchbeitrag),10.1007/978-3-658-00863-5,https://doi.org/10.1007/978-3-658-00863-5,https://link.springer.com/book/10.1007/978-3-658-00863-5
21101309,Internet adoption by the elderly: employing IS technology acceptance theories for understanding the age-related digital divide,Forschungsartikel (Zeitschrift),10.1057/ejis.2013.19,https://doi.org/10.1057/ejis.2013.19,https://www.tandfonline.com/doi/full/10.1057/ejis.2013.19
4517454,BPM Capability Development - A Matter of Contingencies,Forschungsartikel (Zeitschrift),10.1108/BPMJ-07-2012-0068,https://doi.org/10.1108/BPMJ-07-2012-0068,https://www.emerald.com/insight/content/doi/10.1108/BPMJ-07-2012-0068/full/html
21084526,"Value Creation in the Video Game Industry: Industry Economics, Consumer Benefits, and Research Opportunitites",Forschungsartikel (Zeitschrift),10.1016/j.intmar.2013.05.001,https://doi.org/10.1016/j.intmar.2013.05.001,https://journals.sagepub.com/doi/full/10.1016/j.intmar.2013.05.001
4492664,Which Boundary Objects are Applicable to Service Innovation? A Dynamic Capability Perspective,Forschungsartikel in Sammelband (Konferenz),10.1109/HICSS.2014.31,https://doi.org/10.1109/HICSS.2014.31,https://ieeexplore.ieee.org/document/6758626/
21041231,"Informationssystem-Strategie: Theorie, Praxis und Herausforderungen an die Forschung",Forschungsartikel (Zeitschrift),10.1007/s12599-013-0279-z,https://doi.org/10.1007/s12599-013-0279-z,https://link.springer.com/article/10.1007/s12599-013-0279-z
21041149,"Information Systems Strategy. Theory, Practice, and Challenges for Future Research",Forschungsartikel (Zeitschrift),10.1007/s12599-013-0279-z,https://doi.org/10.1007/s12599-013-0279-z,https://link.springer.com/article/10.1007/s12599-013-0279-z
4518280,What Makes Local Governments' Online Communications Successful? Insights from a Multi-Method Analysis of Facebook,Forschungsartikel (Zeitschrift),10.1016/j.giq.2013.05.013,https://doi.org/10.1016/j.giq.2013.05.013,https://linkinghub.elsevier.com/retrieve/pii/S0740624X13000749
4504102,Configuring the Supply Chain Operations Reference Model,Forschungsartikel (Zeitschrift),10.4314/ijest.v6i3.2S,https://doi.org/10.4314/ijest.v6i3.2S,https://www.ajol.info/index.php/ijest/search
21025755,Optimists and Pessimists in (In)Complete Markets,Forschungsartikel (Zeitschrift),10.1017/S002210901900070X,https://doi.org/10.1017/S002210901900070X,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/optimists-and-pessimists-in-incomplete-markets/52A851B535E551E322CB7A18EF6CCD2C
21025504,Managing the weakest link: A game-theoretic approach for the mitigation of insider threats,Forschungsartikel in Sammelband (Konferenz),10.1007/978-3-642-40203-6_16,https://doi.org/10.1007/978-3-642-40203-6_16,https://link.springer.com/chapter/10.1007/978-3-642-40203-6_16
21025412,On the application of anomaly detection in reliable server pooling systems for improved robustness against denial of service attacks,Forschungsartikel in Sammelband (Konferenz),10.1109/LCN.2008.4664171,https://doi.org/10.1109/LCN.2008.4664171,https://ieeexplore.ieee.org/document/4664171/
4505326,Fostering Comparability in Content Management Using Semantic Standardization,Forschungsartikel (Buchbeitrag),10.1007/978-3-642-39715-8_10,https://doi.org/10.1007/978-3-642-39715-8_10,https://link.springer.com/chapter/10.1007/978-3-642-39715-8_10
21009395,"Block convergence in repeated transform coding: JPEG-100 forensics, carbon dating, and tamper detection.",Forschungsartikel in Sammelband (Konferenz),10.1109/ICASSP.2013.6638214,https://doi.org/10.1109/ICASSP.2013.6638214,https://ieeexplore.ieee.org/document/6638214/
21009064,Finding Evenly Spaced Pareto Fronts for Three-Objective Optimization Problems,Forschungsartikel (Buchbeitrag),10.1007/978-3-642-31519-0_6,https://doi.org/10.1007/978-3-642-31519-0_6,https://link.springer.com/chapter/10.1007/978-3-642-31519-0_6
21008897,The Directed Search Method for Pareto Front Approximations with Maximum Dominated Hypervolume,Forschungsartikel (Buchbeitrag),10.1007/978-3-319-01128-8_13,https://doi.org/10.1007/978-3-319-01128-8_13,https://link.springer.com/chapter/10.1007/978-3-319-01128-8_13
21008726,Directed Search Method for Indicator-based Multi-objective Evolutionary Algorithms,Forschungsartikel in Sammelband (Konferenz),10.1145/2464576.2482756,https://doi.org/10.1145/2464576.2482756,https://dl.acm.org/doi/10.1145/2464576.2482756
21001813,A Scalable Farm Skeleton for Hybrid Parallel and Distributed Programming,Forschungsartikel (Zeitschrift),10.1007/s10766-013-0269-2,https://doi.org/10.1007/s10766-013-0269-2,https://link.springer.com/article/10.1007/s10766-013-0269-2
20966276,An empirical test of competing hypotheses for the annuity puzzle,Forschungsartikel (Zeitschrift),10.1016/j.joep.2014.04.001,https://doi.org/10.1016/j.joep.2014.04.001,https://linkinghub.elsevier.com/retrieve/pii/S0167487014000208
20966198,Financial literacy of high school students: Evidence from Germany,Forschungsartikel (Zeitschrift),10.1080/00220485.2016.1146102,https://doi.org/10.1080/00220485.2016.1146102,https://www.tandfonline.com/doi/full/10.1080/00220485.2016.1146102
20965736,Moving steganography and steganalysis from the laboratory into the real world,Forschungsartikel in Sammelband (Konferenz),10.1145/2482513.2482965,https://doi.org/10.1145/2482513.2482965,https://dl.acm.org/doi/10.1145/2482513.2482965
20955740,Consumer power: Evolution in the digital age,Forschungsartikel (Zeitschrift),10.1016/j.intmar.2013.09.002,https://doi.org/10.1016/j.intmar.2013.09.002,https://journals.sagepub.com/doi/full/10.1016/j.intmar.2013.09.002
20938816,Preismodelle für Datenmarktplätze,Forschungsartikel (Zeitschrift),10.1007/s00287-013-0751-7,https://doi.org/10.1007/s00287-013-0751-7,https://link.springer.com/article/10.1007/s00287-013-0751-7
20922760,Correlation Risk and International Portfolio Choice,Forschungsartikel (Zeitschrift),10.1002/fut.21941,https://doi.org/10.1002/fut.21941,https://onlinelibrary.wiley.com/doi/10.1002/fut.21941
4529317,Comprehensive Tool Support for Enterprise Modeling and Evaluation,Forschungsartikel (Zeitschrift),10.4018/ijismd.2014070102,https://doi.org/10.4018/ijismd.2014070102,https://www.igi-global.com/gateway/article/119075
20829855,Graph Theory and Model Collection Management – Conceptual Framework and Runtime Analysis of Selected Graph Algorithms,Forschungsartikel (Zeitschrift),10.1007/s10257-014-0243-6,https://doi.org/10.1007/s10257-014-0243-6,https://link.springer.com/article/10.1007/s10257-014-0243-6
20814546,Detecting Potential Weaknesses in Business Processes - An Exploration of Semantic Pattern Matching in Process Models,Forschungsartikel (Zeitschrift),10.1108/BPMJ-07-2013-0103,https://doi.org/10.1108/BPMJ-07-2013-0103,https://www.emerald.com/insight/content/doi/10.1108/BPMJ-07-2013-0103/full/html
20793860,Taxonomy of Enterprise-related Mobile Applications,Forschungsartikel in Sammelband (Konferenz),10.1007/978-3-319-07632-4,https://doi.org/10.1007/978-3-319-07632-4,https://link.springer.com/book/10.1007/978-3-319-07632-4
20739421,A Language-independent Model Query Tool,Forschungsartikel in Sammelband (Konferenz),10.1007/978-3-319-06701-8_44,https://doi.org/10.1007/978-3-319-06701-8_44,https://link.springer.com/chapter/10.1007/978-3-319-06701-8_44
20701506,Incumbents' defense strategies: A comparison of deterrence and shakeout strategy based on evolutionary game theory,Forschungsartikel (Zeitschrift),10.1007/s11747-011-0299-5,https://doi.org/10.1007/s11747-011-0299-5,https://link.springer.com/article/10.1007/s11747-011-0299-5
20701414,Buying without using: Biases of German BahnCard buyers,Forschungsartikel (Zeitschrift),10.1080/00036846.2011.613781,https://doi.org/10.1080/00036846.2011.613781,https://www.tandfonline.com/doi/full/10.1080/00036846.2011.613781
20701251,Diversity in Teams and the Success of Cultural Products,Forschungsartikel (Zeitschrift),10.1007/s10824-012-9173-7,https://doi.org/10.1007/s10824-012-9173-7,https://link.springer.com/article/10.1007/s10824-012-9173-7
20701164,Competing Risks for Train Tickets - An Empirical Investigation of Customer Behavior and Performance in the Railway Industry,Forschungsartikel (Zeitschrift),10.1016/j.tre.2012.12.005,https://doi.org/10.1016/j.tre.2012.12.005,https://linkinghub.elsevier.com/retrieve/pii/S1366554512001135
20701076,Tendency to network of small and medium-sized enterprises: Combining organizational economics and resource-based perspectives,Forschungsartikel (Zeitschrift),10.1002/mde.2590,https://doi.org/10.1002/mde.2590,https://onlinelibrary.wiley.com/doi/10.1002/mde.2590
20700997,Lost in Translation? The Prevalence and Performance Impact of Corporate Social Responsibility in Franchising,Forschungsartikel (Zeitschrift),10.1111/j.1540-627X.2012.00367.x,https://doi.org/10.1111/j.1540-627X.2012.00367.x,https://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1540-627X.2012.00367.x
20700368,Strategic Trade Policy through the Tax System,Forschungsartikel (Zeitschrift),10.1111/twec.12143,https://doi.org/10.1111/twec.12143,https://onlinelibrary.wiley.com/doi/10.1111/twec.12143
20700278,Corporate tax regime and international allocation of ownership,Forschungsartikel (Zeitschrift),10.1016/j.regsciurbeco.2012.11.002,https://doi.org/10.1016/j.regsciurbeco.2012.11.002,https://linkinghub.elsevier.com/retrieve/pii/S0166046212000944
20688177,Benefits of Inner Strength for Franchise System Expansion,Forschungsartikel (Zeitschrift),10.1080/1046669X.2010.486707,https://doi.org/10.1080/1046669X.2010.486707,https://www.tandfonline.com/doi/abs/10.1080/1046669X.2010.486707
20669935,Retailing innovations in a globalizing retail market environment,Forschungsartikel (Zeitschrift),10.1016/j.jretai.2011.04.009,https://doi.org/10.1016/j.jretai.2011.04.009,https://linkinghub.elsevier.com/retrieve/pii/S0022435911000388
20669842,The Effect of Mailing Design Characteristics on Direct Mail Campaign Performance,Forschungsartikel (Zeitschrift),10.1016/j.ijresmar.2012.07.003,https://doi.org/10.1016/j.ijresmar.2012.07.003,https://linkinghub.elsevier.com/retrieve/pii/S0167811612000766
20669750,Consumer perceptions of service constellations: implications for service innovation,Forschungsartikel (Zeitschrift),10.1108/09564231311327012,https://doi.org/10.1108/09564231311327012,https://www.emerald.com/insight/content/doi/10.1108/09564231311327012/full/html
20666512,Location of Decision Rights in Catholic Religious Orders,Forschungsartikel (Zeitschrift),10.1002/mde.2571,https://doi.org/10.1002/mde.2571,https://onlinelibrary.wiley.com/doi/10.1002/mde.2571
20666432,"Network Governance: Alliances, Cooperatives and Franchise Chains",Fachbuch (Herausgegebenes Buch),10.1007/978-3-7908-2867-2,https://doi.org/10.1007/978-3-7908-2867-2,https://link.springer.com/book/10.1007/978-3-7908-2867-2
20630600,Exploring the Interplay of the Design and Emergence of Business Processes as Organizational Routines,Forschungsartikel (Zeitschrift),10.1007/s12599-014-0335-3,https://doi.org/10.1007/s12599-014-0335-3,https://link.springer.com/article/10.1007/s12599-014-0335-3
9718109,Über das Zusammenwirken der Gestaltung und Emergenz von Geschäftsprozessen als Organisationsroutinen,Forschungsartikel (Zeitschrift),10.1007/s11576-014-0425-3,https://doi.org/10.1007/s11576-014-0425-3,https://link.springer.com/article/10.1007/s11576-014-0425-3
20600383,A Scalable Farm Skeleton for Heterogeneous Parallel Programming,Forschungsartikel in Sammelband (Konferenz),10.3233/978-1-61499-381-0-72,https://doi.org/10.3233/978-1-61499-381-0-72,https://www.medra.org/servlet/aliasResolver?alias=iospressISSNISBN&issn=0927-5452&volume=25&spage=72
20587494,Selective crowdsourcing for open process innovation in the public sector - are expert citizens really willing to participate?,Forschungsartikel in Sammelband (Konferenz),10.1145/2591888.2591899,https://doi.org/10.1145/2591888.2591899,https://dl.acm.org/doi/10.1145/2591888.2591899
20587412,Reflektion der wissenschaftlichen Nutzenbetrachtung von Social Software,Forschungsartikel (Zeitschrift),10.1515/icom-2014-0015,https://doi.org/10.1515/icom-2014-0015,https://www.degruyter.com/document/doi/10.1515/icom-2014-0015/html
20583439,Robustness of Stable Volatility Strategies,Forschungsartikel (Zeitschrift),10.1016/j.jedc.2015.08.007,https://doi.org/10.1016/j.jedc.2015.08.007,https://linkinghub.elsevier.com/retrieve/pii/S0165188915001554
20552424,Conceptual Approach for Integrating Tactical Spare Parts Inventory Management and Transport Planning,Forschungsartikel in Sammelband (Konferenz),10.1109/INDIN.2014.6945572,https://doi.org/10.1109/INDIN.2014.6945572,https://ieeexplore.ieee.org/document/6945572/
20548775,Enabling Semantically Enriched Data Analytics by Leveraging Topology-based Mobile Network Context Ontologies,Forschungsartikel in Sammelband (Konferenz),10.1145/2611040.2611084,https://doi.org/10.1145/2611040.2611084,https://dl.acm.org/doi/10.1145/2611040.2611084
4509393,"The Generic Model Query Language GMQL – Conceptual Specification, Implementation, and Runtime Evaluation",Forschungsartikel (Zeitschrift),10.1016/j.is.2014.06.003,https://doi.org/10.1016/j.is.2014.06.003,https://linkinghub.elsevier.com/retrieve/pii/S0306437914000957
20541092,Predictable Rain? Steganalysis of Public-key Steganography Using Wet Paper Codes,Forschungsartikel in Sammelband (Konferenz),10.1145/2600918.2600942,https://doi.org/10.1145/2600918.2600942,https://dl.acm.org/doi/10.1145/2600918.2600942
20539105,Cell Mapping Techniques for Exploratory Landscape Analysis,Forschungsartikel (Buchbeitrag),10.1007/978-3-319-07494-8_9,https://doi.org/10.1007/978-3-319-07494-8_9,https://link.springer.com/chapter/10.1007/978-3-319-07494-8_9
4509461,Designing and Evaluating an Interpretable Predictive Modeling Technique for Business Processes,Forschungsartikel (Buchbeitrag),10.1007/978-3-319-15895-2_46,https://doi.org/10.1007/978-3-319-15895-2_46,https://link.springer.com/chapter/10.1007/978-3-319-15895-2_46
20508848,Ein empirischer Vergleich von Kundenbindungsdeterminanten im Business-to-Business-Bereich,Forschungsartikel (Zeitschrift),10.15358/0344-1369-2011-2-111,https://doi.org/10.15358/0344-1369-2011-2-111,https://www.beck-elibrary.de/10.15358/0344-1369-2011-2-111/ein-empirischer-vergleich-von-kundenbindungsdeterminanten-im-business-to-business-bereich-jahrgang-33-2011-heft-2?page=1
20508758,Undervalued or overvalued customers: Capturing total customer engagement value,Forschungsartikel (Zeitschrift),10.1177/1094670510375602,https://doi.org/10.1177/1094670510375602,https://journals.sagepub.com/doi/10.1177/1094670510375602
20476955,A Multiobjective Evolutionary Algorithm Guided by Averaged Hausdorff Distance to Aspiration Sets,Forschungsartikel (Buchbeitrag),10.1007/978-3-319-07494-8_18,https://doi.org/10.1007/978-3-319-07494-8_18,https://link.springer.com/chapter/10.1007/978-3-319-07494-8_18
20476872,R2 Indicator Based Multiobjective Search,Forschungsartikel (Zeitschrift),10.1162/EVCO_a_00135,https://doi.org/10.1162/EVCO_a_00135,https://direct.mit.edu/evco/article/23/3/369-395/1002
4521135,Effizienzmessung industrieller Dienstleistungen mittels Data Envelopment Analysis (ServDEA),Forschungsartikel (Buchbeitrag),10.1007/978-3-658-04086-4_2,https://doi.org/10.1007/978-3-658-04086-4_2,https://link.springer.com/chapter/10.1007/978-3-658-04086-4_2
20460675,Twitter Data: What Do They Represent?,Forschungsartikel (Zeitschrift),10.1515/itit-2014-1049,https://doi.org/10.1515/itit-2014-1049,https://www.degruyter.com/document/doi/10.1515/itit-2014-1049/html
20457968,Modelling interventions in INGARCH processes,Forschungsartikel (Zeitschrift),10.1080/00207160.2014.949250,https://doi.org/10.1080/00207160.2014.949250,https://www.tandfonline.com/doi/full/10.1080/00207160.2014.949250
20450477,A qualitative meta-analysis of trust in supervisor-subordinate relationships,Forschungsartikel (Zeitschrift),10.1108/JMP-06-2013-0187,https://doi.org/10.1108/JMP-06-2013-0187,https://www.emerald.com/insight/content/doi/10.1108/JMP-06-2013-0187/full/html
20450396,Vulnerability and Trust in Leader-Follower Relationships,Forschungsartikel (Zeitschrift),10.1108/PR-09-2013-0162,https://doi.org/10.1108/PR-09-2013-0162,https://www.emerald.com/insight/content/doi/10.1108/PR-09-2013-0162/full/html
